"Date","Subways: Total Estimated Ridership","Subways: % of Comparable Pre-Pandemic Day","Buses: Total Estimated Ridership","Buses: % of Comparable Pre-Pandemic Day","LIRR: Total Estimated Ridership","LIRR: % of Comparable Pre-Pandemic Day","Metro-North: Total Estimated Ridership","Metro-North: % of Comparable Pre-Pandemic Day","Access-A-Ride: Total Scheduled Trips","Access-A-Ride: % of Comparable Pre-Pandemic Day","Bridges and Tunnels: Total Traffic","Bridges and Tunnels: % of Comparable Pre-Pandemic Day","Staten Island Railway: Total Estimated Ridership","Staten Island Railway: % of Comparable Pre-Pandemic Day"
"11/05/2023","2,310,457","92%","614,666","62%","109,258","116%","109,891","106%","16,889","90%","791,269","96%","3,407","111%"
"11/06/2023","3,686,141","65%","1,349,481","62%","225,898","69%","198,934","70%","30,167","97%","923,453","98%","7,474","44%"
"11/07/2023","3,655,078","65%","1,270,763","58%","238,656","73%","215,344","75%","30,843","99%","891,546","94%","6,785","40%"
"11/08/2023","4,066,029","72%","1,401,268","64%","238,727","73%","213,738","75%","33,515","107%","937,630","99%","8,306","49%"
"11/09/2023","4,020,939","71%","1,376,822","63%","235,844","72%","210,130","73%","32,982","106%","980,310","104%","7,929","47%"
"11/10/2023","3,611,367","143%","1,250,528","126%","224,512","237%","200,669","193%","25,506","135%","974,996","118%","5,596","182%"
"11/11/2023","2,588,540","82%","817,146","62%","122,170","106%","118,398","78%","18,654","110%","939,492","103%","2,712","78%"
"11/12/2023","1,947,270","77%","642,431","64%","99,171","105%","91,623","88%","19,187","102%","891,716","108%","1,958","64%"
"11/13/2023","3,597,029","64%","1,320,693","60%","225,204","69%","194,691","68%","30,479","98%","907,109","96%","7,353","43%"
"11/14/2023","3,991,767","71%","1,382,768","63%","235,487","72%","214,218","75%","33,027","106%","921,728","98%","8,271","49%"
"11/15/2023","4,036,442","72%","1,389,217","63%","235,718","72%","214,486","75%","34,166","109%","941,983","100%","8,322","49%"
"11/16/2023","4,048,862","72%","1,391,273","64%","235,070","72%","207,671","73%","34,102","109%","978,274","104%","8,010","47%"
"11/17/2023","3,741,391","66%","1,303,240","60%","227,909","69%","201,231","70%","31,496","101%","999,520","106%","6,792","40%"
"11/18/2023","2,477,547","78%","831,053","63%","124,053","108%","120,273","80%","19,452","115%","946,515","104%","2,630","76%"
"11/19/2023","1,943,926","77%","657,965","66%","100,792","107%","100,924","97%","19,835","105%","867,625","105%","2,058","67%"
"11/20/2023","3,647,283","65%","1,300,978","59%","228,502","70%","203,599","71%","30,889","99%","925,548","98%","7,426","44%"
"11/21/2023","3,774,952","67%","1,254,277","57%","236,079","72%","213,162","74%","32,139","103%","977,248","104%","7,467","44%"
"11/22/2023","3,378,351","60%","1,160,847","53%","254,968","78%","220,030","77%","28,409","91%","985,528","104%","6,524","38%"
"11/23/2023","1,628,385","65%","471,662","47%","116,969","124%","107,690","103%","21,741","115%","898,291","109%","2,257","74%"
"11/24/2023","2,457,591","97%","807,221","81%","215,833","228%","197,178","189%","15,381","82%","818,916","99%","3,718","121%"
"11/25/2023","2,123,590","67%","696,466","53%","124,716","108%","117,682","78%","14,245","84%","866,561","95%","2,454","71%"
"11/26/2023","1,686,490","67%","566,395","57%","101,486","107%","95,729","92%","16,900","90%","864,505","105%","1,834","60%"
"11/27/2023","3,523,494","63%","1,253,990","57%","228,127","69%","200,017","70%","29,418","94%","921,303","98%","7,294","43%"
"11/28/2023","3,916,476","69%","1,279,327","58%","234,794","72%","216,450","76%","31,716","102%","914,381","97%","7,835","46%"
"11/29/2023","4,032,882","72%","1,268,990","58%","234,738","71%","212,929","74%","32,809","105%","915,384","97%","7,851","46%"
"11/30/2023","4,072,271","72%","1,340,370","61%","236,142","72%","210,592","74%","32,650","105%","945,909","100%","7,737","45%"
"12/01/2023","3,723,171","70%","1,226,677","61%","185,151","59%","164,628","59%","31,284","107%","947,287","107%","6,432","41%"
"12/02/2023","2,748,170","83%","826,725","65%","126,374","99%","125,483","80%","19,675","114%","903,346","102%","2,618","53%"
"12/03/2023","1,827,959","72%","553,618","57%","87,340","82%","76,999","72%","18,450","103%","778,118","98%","1,633","48%"
"12/04/2023","3,709,458","69%","1,312,507","66%","223,257","71%","201,080","72%","30,841","106%","900,224","102%","7,559","48%"
"12/05/2023","3,991,835","75%","1,346,216","67%","243,329","77%","224,065","80%","33,235","114%","914,419","103%","7,964","51%"
"12/06/2023","4,116,059","77%","1,350,594","67%","230,920","73%","211,076","76%","33,502","115%","936,802","106%","7,951","51%"
"12/07/2023","4,088,438","77%","1,314,833","66%","231,114","73%","204,586","73%","32,511","112%","960,536","108%","7,424","48%"
"12/08/2023","3,863,961","72%","1,261,796","63%","225,208","71%","198,539","71%","31,875","109%","972,091","110%","6,435","41%"
"12/09/2023","2,922,085","88%","828,894","65%","156,237","122%","147,745","94%","20,580","119%","944,411","107%","3,181","64%"
"12/10/2023","1,838,048","72%","539,117","55%","90,884","85%","82,225","77%","17,542","98%","779,314","98%","1,648","49%"
"12/11/2023","3,642,743","68%","1,213,923","61%","219,022","69%","191,110","69%","29,271","100%","894,318","101%","6,949","45%"
"12/12/2023","4,051,574","76%","1,309,303","65%","236,348","75%","219,393","79%","33,458","115%","935,591","106%","7,655","49%"
"12/13/2023","4,067,457","76%","1,314,167","66%","238,451","75%","215,546","77%","34,323","118%","959,767","108%","7,859","50%"
"12/14/2023","4,122,091","77%","1,296,909","65%","236,516","75%","213,415","77%","33,406","115%","988,876","112%","7,414","48%"
"12/15/2023","3,845,234","72%","1,246,465","62%","235,800","75%","208,572","75%","32,517","112%","1,011,336","114%","6,540","42%"
"12/16/2023","2,866,544","86%","814,457","64%","149,340","117%","149,013","95%","20,483","119%","972,314","110%","3,085","62%"
"12/17/2023","1,954,707","77%","569,005","58%","96,415","90%","88,502","82%","18,445","103%","809,015","102%","1,787","53%"
"12/18/2023","3,314,782","62%","1,082,334","54%","201,289","64%","174,850","63%","28,309","97%","809,201","91%","5,381","34%"
"12/19/2023","3,912,934","73%","1,275,002","64%","244,031","77%","213,625","77%","32,542","112%","946,648","107%","7,555","48%"
"12/20/2023","3,838,407","72%","1,245,547","62%","236,060","75%","206,420","74%","33,205","114%","964,384","109%","7,363","47%"
"12/21/2023","3,675,448","69%","1,200,899","60%","229,252","73%","199,411","71%","31,713","109%","976,632","110%","6,860","44%"
"12/22/2023","3,372,318","63%","1,110,555","55%","231,036","73%","206,169","74%","29,324","101%","979,372","111%","5,878","38%"
"12/23/2023","2,244,175","68%","708,808","56%","139,904","109%","130,053","83%","17,627","102%","876,791","99%","2,700","54%"
"12/24/2023","1,657,096","65%","549,448","56%","92,540","87%","77,874","72%","20,241","114%","793,031","100%","1,912","56%"
"12/25/2023","1,273,729","50%","381,879","39%","80,587","76%","65,350","61%","14,750","83%","748,318","94%","1,668","49%"
"12/26/2023","2,668,642","50%","906,670","45%","219,149","69%","192,910","69%","20,706","71%","867,072","98%","5,158","33%"
"12/27/2023","2,912,007","55%","955,890","48%","220,010","70%","186,541","67%","25,945","89%","881,140","99%","5,373","34%"
"12/28/2023","3,064,841","57%","969,231","48%","218,546","69%","193,235","69%","26,462","91%","887,521","100%","5,395","35%"
"12/29/2023","3,198,885","60%","1,007,697","50%","237,781","75%","210,361","75%","26,892","92%","909,062","103%","5,784","37%"
"12/30/2023","2,440,211","74%","720,564","57%","121,688","95%","121,647","77%","16,983","99%","833,538","94%","2,780","56%"
"12/31/2023","1,934,651","76%","548,344","56%","99,817","94%","89,554","83%","20,005","112%","671,873","84%","2,029","60%"
"01/01/2024","1,648,734","79%","455,965","50%","82,811","100%","73,957","82%","9,165","68%","730,489","107%","2,018","74%"
"01/02/2024","3,290,639","64%","1,091,104","53%","209,680","69%","184,978","69%","25,961","92%","829,660","95%","7,107","43%"
"01/03/2024","3,555,082","69%","1,212,761","59%","217,373","72%","194,441","72%","31,304","111%","856,822","99%","7,565","46%"
"01/04/2024","3,560,703","69%","1,242,971","61%","212,217","70%","190,588","71%","31,233","110%","867,791","100%","7,450","45%"
"01/05/2024","3,263,064","63%","1,185,046","58%","199,441","66%","173,362","64%","30,480","108%","886,766","102%","5,963","36%"
"01/06/2024","1,942,458","72%","684,686","57%","92,741","95%","82,890","64%","15,850","109%","721,283","94%","2,070","50%"
"01/07/2024","1,472,438","70%","502,518","55%","72,971","88%","57,280","63%","13,723","102%","566,397","83%","1,533","56%"
"01/08/2024","3,303,727","64%","1,226,783","60%","208,960","69%","184,150","68%","28,890","102%","844,853","97%","7,001","43%"
"01/09/2024","3,353,192","65%","1,135,694","55%","213,699","71%","188,888","70%","30,430","108%","780,334","90%","6,944","42%"
"01/10/2024","3,557,166","69%","1,248,493","61%","217,461","72%","191,221","71%","31,338","111%","844,710","97%","7,216","44%"
"01/11/2024","3,688,916","72%","1,293,940","63%","229,117","76%","199,799","74%","32,790","116%","921,166","106%","7,337","45%"
"01/12/2024","3,365,791","65%","1,228,696","60%","207,670","69%","182,896","68%","31,096","110%","930,218","107%","6,286","38%"
"01/13/2024","2,167,383","80%","755,670","63%","101,558","104%","97,439","75%","17,168","118%","819,900","107%","2,210","54%"
"01/14/2024","1,743,556","83%","588,809","64%","85,521","103%","78,197","86%","18,588","138%","750,002","110%","1,745","64%"
"01/15/2024","2,169,917","104%","783,032","85%","91,887","111%","80,498","89%","16,502","122%","816,628","120%","3,017","110%"
"01/16/2024","3,235,935","63%","1,078,860","53%","205,716","68%","178,389","66%","29,826","105%","712,714","82%","5,414","33%"
"01/17/2024","3,616,923","70%","1,193,111","58%","217,173","72%","199,986","74%","32,054","113%","863,242","99%","6,891","42%"
"01/18/2024","3,655,850","71%","1,235,693","60%","217,911","72%","197,257","73%","32,318","114%","896,766","103%","7,014","43%"
"01/19/2024","3,176,408","62%","1,109,408","54%","191,999","64%","171,490","64%","27,175","96%","793,429","91%","5,330","33%"
"01/20/2024","2,024,041","75%","677,335","57%","96,128","99%","82,817","64%","15,487","107%","758,923","99%","1,926","47%"
"01/21/2024","1,576,126","75%","548,497","60%","78,041","94%","66,955","74%","17,147","127%","718,777","105%","1,482","54%"
"01/22/2024","3,305,387","64%","1,210,644","59%","209,302","69%","185,181","69%","30,092","106%","841,078","97%","6,558","40%"
"01/23/2024","3,652,488","71%","1,264,199","62%","233,311","77%","205,300","76%","33,111","117%","864,670","100%","7,194","44%"
"01/24/2024","3,666,907","71%","1,247,798","61%","223,928","74%","201,969","75%","33,082","117%","867,077","100%","7,027","43%"
"01/25/2024","3,681,867","72%","1,256,481","61%","223,766","74%","199,560","74%","32,517","115%","890,573","102%","6,845","42%"
"01/26/2024","3,380,816","66%","1,193,175","58%","213,749","71%","184,511","69%","31,329","111%","913,609","105%","5,681","35%"
"01/27/2024","2,283,244","84%","801,262","67%","117,555","121%","102,600","79%","19,099","132%","853,000","112%","2,409","59%"
"01/28/2024","1,549,077","74%","535,857","58%","75,177","91%","66,794","74%","17,473","129%","712,530","104%","1,455","53%"
"01/29/2024","3,297,571","64%","1,211,703","59%","214,890","71%","187,702","70%","29,367","104%","838,882","97%","6,755","41%"
"01/30/2024","3,717,520","72%","1,284,597","63%","230,931","76%","207,896","77%","32,782","116%","868,230","100%","7,744","47%"
"01/31/2024","3,808,584","74%","1,325,692","65%","228,148","76%","204,353","76%","33,417","118%","882,805","102%","7,651","47%"
"02/01/2024","3,814,682","70%","1,337,508","62%","214,275","71%","189,621","70%","33,540","114%","911,954","103%","7,465","46%"
"02/02/2024","3,457,807","64%","1,239,617","58%","200,395","66%","174,044","65%","32,175","109%","917,639","104%","6,207","38%"
"02/03/2024","2,324,038","81%","808,103","64%","113,576","121%","102,310","78%","20,070","123%","845,878","102%","2,357","55%"
"02/04/2024","1,742,107","79%","626,299","64%","86,327","110%","77,083","85%","20,480","122%","790,429","105%","1,746","62%"
"02/05/2024","3,481,777","64%","1,297,578","60%","218,879","72%","190,181","71%","31,372","107%","855,224","97%","7,053","44%"
"02/06/2024","3,857,533","71%","1,346,868","63%","233,524","77%","208,252","77%","33,618","114%","880,296","100%","7,709","48%"
"02/07/2024","3,900,992","72%","1,341,486","62%","229,426","76%","202,871","75%","34,799","118%","896,482","101%","7,655","47%"
"02/08/2024","3,903,673","72%","1,350,925","63%","232,069","77%","198,010","74%","34,386","117%","937,494","106%","7,442","46%"
"02/09/2024","3,547,321","65%","1,268,268","59%","218,909","72%","185,475","69%","32,233","110%","953,705","108%","6,121","38%"
"02/10/2024","2,385,448","83%","795,892","63%","118,074","126%","99,942","76%","20,462","126%","876,746","105%","2,596","61%"
"02/11/2024","1,774,698","81%","628,400","64%","83,832","107%","73,614","81%","20,610","122%","759,996","101%","1,769","63%"
"02/12/2024","3,374,596","62%","1,254,403","58%","212,628","70%","185,118","69%","30,323","103%","888,941","101%","6,132","38%"
"02/13/2024","2,273,584","42%","724,893","34%","166,803","55%","134,355","50%","23,271","79%","480,178","54%","3,641","23%"
"02/14/2024","3,963,628","73%","1,282,121","60%","230,505","76%","201,686","75%","32,796","111%","909,016","103%","7,645","47%"
"02/15/2024","3,874,860","71%","1,305,830","61%","228,885","76%","202,704","75%","33,402","114%","948,001","107%","7,500","46%"
"02/16/2024","3,504,536","65%","1,225,865","57%","210,552","70%","186,547","69%","32,442","110%","962,249","109%","6,269","39%"
"02/17/2024","2,178,047","76%","680,638","54%","95,271","102%","92,423","71%","17,545","108%","769,698","93%","2,038","48%"
"02/18/2024","1,850,840","84%","604,537","62%","89,877","115%","81,659","90%","18,975","113%","794,483","105%","1,720","61%"
"02/19/2024","2,244,741","102%","842,548","86%","96,569","124%","85,973","94%","17,585","104%","814,165","108%","3,007","107%"
"02/20/2024","3,490,990","64%","1,201,850","56%","233,827","77%","207,099","77%","32,208","109%","895,208","101%","7,023","43%"
"02/21/2024","3,591,484","66%","1,222,440","57%","230,058","76%","201,074","75%","33,590","114%","892,324","101%","7,112","44%"
"02/22/2024","3,588,173","66%","1,212,903","56%","225,465","74%","195,315","73%","32,702","111%","924,554","105%","6,674","41%"
"02/23/2024","3,219,121","59%","1,126,271","52%","208,527","69%","182,348","68%","30,262","103%","916,874","104%","5,479","34%"
"02/24/2024","2,308,808","80%","788,962","62%","114,816","123%","98,942","76%","19,456","120%","866,204","104%","2,407","56%"
"02/25/2024","1,740,477","79%","608,010","62%","88,104","113%","78,248","86%","19,822","118%","822,624","109%","1,800","64%"
"02/26/2024","3,439,079","63%","1,275,320","59%","217,914","72%","187,542","70%","30,867","105%","873,604","99%","6,969","43%"
"02/27/2024","3,802,458","70%","1,332,209","62%","233,207","77%","208,042","77%","33,571","114%","893,537","101%","7,659","47%"
"02/28/2024","3,784,177","70%","1,290,829","60%","228,110","75%","199,671","74%","33,664","114%","889,784","101%","7,428","46%"
"02/29/2024","3,905,888","72%","1,334,777","62%","232,010","77%","204,828","76%","33,637","114%","957,616","108%","7,295","45%"
"03/01/2024","3,573,658","64%","1,276,428","57%","181,633","58%","157,348","57%","33,416","112%","968,878","105%","6,220","39%"
"03/02/2024","2,094,029","68%","689,029","52%","98,266","91%","85,586","63%","19,380","114%","823,629","95%","2,084","41%"
"03/03/2024","1,961,510","86%","686,787","69%","93,906","108%","85,095","90%","21,351","121%","857,039","106%","1,981","63%"
"03/04/2024","3,539,671","64%","1,319,592","59%","219,565","70%","188,845","68%","32,231","108%","887,009","96%","7,229","45%"
"03/05/2024","3,819,514","69%","1,263,377","56%","236,999","76%","204,515","74%","34,277","115%","868,487","94%","7,344","46%"
"03/06/2024","3,865,589","69%","1,273,337","57%","225,080","72%","198,040","72%","35,207","118%","890,058","97%","7,555","47%"
"03/07/2024","3,893,731","70%","1,334,827","60%","226,926","72%","197,659","72%","34,235","115%","941,815","102%","7,414","46%"
"03/08/2024","3,685,219","66%","1,291,469","58%","226,372","72%","192,899","70%","34,613","116%","987,695","107%","6,588","41%"
"03/09/2024","2,128,635","69%","747,405","56%","113,368","105%","97,183","72%","19,661","116%","857,351","98%","2,174","43%"
"03/10/2024","1,803,578","79%","630,566","63%","90,567","104%","77,768","82%","20,080","114%","818,114","101%","1,750","56%"
"03/11/2024","3,497,588","63%","1,270,081","57%","218,755","70%","188,108","68%","31,600","106%","869,087","94%","6,854","43%"
"03/12/2024","3,988,438","72%","1,370,319","61%","239,002","76%","213,584","77%","34,978","118%","911,441","99%","7,820","49%"
"03/13/2024","4,024,943","72%","1,377,062","61%","237,603","76%","212,582","77%","36,469","123%","937,527","102%","8,100","51%"
"03/14/2024","4,049,186","73%","1,368,263","61%","240,124","77%","211,962","77%","36,111","121%","970,105","105%","7,658","48%"
"03/15/2024","3,643,013","65%","1,275,542","57%","227,481","73%","199,285","72%","33,266","112%","986,807","107%","6,558","41%"
"03/16/2024","2,553,056","83%","838,318","63%","138,156","128%","129,667","96%","20,796","123%","924,262","106%","3,108","61%"
"03/17/2024","1,972,170","86%","625,861","63%","103,993","120%","86,964","92%","20,237","115%","862,748","107%","2,078","66%"
"03/18/2024","3,482,565","63%","1,296,423","58%","221,451","71%","190,770","69%","31,905","107%","895,292","97%","7,072","44%"
"03/19/2024","3,869,116","69%","1,336,910","60%","242,771","77%","210,028","76%","34,899","117%","909,501","99%","7,795","49%"
"03/20/2024","3,886,104","70%","1,334,002","60%","234,446","75%","206,030","75%","35,998","121%","927,404","101%","7,700","48%"
"03/21/2024","3,862,248","69%","1,317,112","59%","228,782","73%","200,037","73%","35,097","118%","947,309","103%","7,292","46%"
"03/22/2024","3,581,959","64%","1,251,225","56%","225,175","72%","187,489","68%","33,549","113%","975,518","106%","6,299","39%"
"03/23/2024","1,863,863","61%","587,004","44%","95,770","89%","77,331","57%","17,633","104%","733,638","84%","1,766","35%"
"03/24/2024","1,912,946","83%","653,413","66%","95,973","111%","80,451","85%","22,334","127%","861,573","107%","1,890","60%"
"03/25/2024","3,583,716","64%","1,281,676","57%","224,068","71%","192,720","70%","31,947","107%","902,281","98%","7,032","44%"
"03/26/2024","3,969,793","71%","1,355,991","60%","239,790","77%","211,566","77%","34,874","117%","914,666","99%","7,754","49%"
"03/27/2024","4,014,011","72%","1,342,695","60%","241,268","77%","207,744","75%","35,627","120%","943,920","102%","7,628","48%"
"03/28/2024","3,910,547","70%","1,223,847","55%","239,840","77%","200,583","73%","34,416","116%","954,143","104%","6,780","42%"
"03/29/2024","3,372,535","61%","1,096,254","49%","241,583","77%","198,343","72%","30,293","102%","966,343","105%","5,092","32%"
"03/30/2024","2,526,569","82%","801,723","60%","135,355","125%","111,061","82%","19,891","117%","906,427","104%","2,748","54%"
"03/31/2024","1,936,295","84%","606,411","61%","121,273","140%","98,458","104%","23,316","132%","933,446","116%","2,096","67%"
"04/01/2024","3,321,989","60%","1,168,598","53%","208,291","67%","180,107","63%","30,083","104%","917,643","98%","6,053","37%"
"04/02/2024","3,900,061","70%","1,247,638","57%","234,615","76%","206,753","72%","34,415","119%","889,922","95%","7,289","45%"
"04/03/2024","3,890,305","70%","1,162,660","53%","222,764","72%","195,001","68%","34,971","121%","851,814","91%","6,815","42%"
"04/04/2024","4,100,733","74%","1,339,531","61%","232,730","75%","201,745","70%","34,712","120%","957,042","102%","7,180","44%"
"04/05/2024","3,800,800","68%","1,263,607","58%","225,107","73%","202,580","71%","34,503","119%","981,699","104%","6,309","39%"
"04/06/2024","2,477,127","78%","822,825","62%","128,106","112%","117,095","79%","21,444","129%","928,096","102%","2,555","50%"
"04/07/2024","1,899,641","78%","651,153","66%","101,624","111%","94,103","91%","21,759","117%","875,089","101%","2,033","62%"
"04/08/2024","3,506,719","63%","1,258,402","58%","220,359","71%","194,106","68%","31,777","110%","879,783","93%","6,873","42%"
"04/09/2024","4,042,674","72%","1,366,571","63%","251,964","81%","228,390","80%","36,151","125%","965,630","103%","7,937","49%"
"04/10/2024","3,791,945","68%","1,245,909","57%","235,585","76%","216,591","75%","35,534","123%","946,464","101%","7,115","44%"
"04/11/2024","4,000,485","72%","1,315,916","60%","241,215","78%","205,013","71%","35,354","122%","963,140","102%","7,326","45%"
"04/12/2024","3,668,439","66%","1,240,823","57%","225,168","73%","191,755","67%","33,701","116%","979,494","104%","6,265","39%"
"04/13/2024","2,535,112","80%","824,356","62%","120,351","105%","110,542","74%","21,606","130%","930,759","102%","2,609","51%"
"04/14/2024","2,068,885","85%","664,358","67%","103,711","113%","93,633","91%","21,766","117%","897,470","104%","2,145","66%"
"04/15/2024","3,704,177","66%","1,319,005","60%","233,386","75%","203,835","71%","32,975","114%","933,433","99%","7,374","45%"
"04/16/2024","4,033,514","72%","1,370,151","63%","243,835","79%","220,030","77%","35,869","124%","941,739","100%","8,017","49%"
"04/17/2024","4,021,256","72%","1,347,870","62%","243,323","78%","214,829","75%","35,970","124%","942,089","100%","7,805","48%"
"04/18/2024","3,966,226","71%","1,303,010","60%","230,634","74%","203,859","71%","34,816","120%","955,479","102%","7,271","45%"
"04/19/2024","3,705,782","66%","1,278,086","58%","223,518","72%","205,809","72%","33,749","117%","1,000,275","106%","6,252","39%"
"04/20/2024","2,537,525","80%","830,016","62%","125,999","110%","123,804","83%","21,228","127%","949,195","104%","2,793","55%"
"04/21/2024","1,918,237","79%","651,681","66%","101,817","111%","98,834","96%","20,807","111%","873,632","101%","2,017","62%"
"04/22/2024","3,219,677","58%","1,146,285","52%","229,680","74%","206,229","72%","29,919","103%","902,943","96%","6,171","38%"
"04/23/2024","3,522,218","63%","1,176,798","54%","238,274","77%","221,191","77%","31,727","110%","869,972","92%","7,063","44%"
"04/24/2024","3,608,010","65%","1,180,243","54%","233,010","75%","215,927","75%","32,658","113%","880,348","94%","6,847","42%"
"04/25/2024","3,723,894","67%","1,191,480","55%","242,243","78%","217,219","76%","32,999","114%","962,228","102%","6,820","42%"
"04/26/2024","3,431,590","62%","1,143,792","52%","229,885","74%","198,590","69%","31,859","110%","955,900","102%","5,647","35%"
"04/27/2024","2,506,779","79%","801,494","60%","123,192","108%","109,447","73%","20,591","123%","911,900","100%","2,479","48%"
"04/28/2024","2,084,950","86%","649,572","65%","100,214","109%","91,619","89%","21,057","113%","881,076","102%","1,965","60%"
"04/29/2024","3,323,706","60%","1,161,990","53%","225,362","73%","201,385","70%","30,504","105%","866,723","92%","6,385","39%"
"04/30/2024","3,638,986","65%","1,193,514","55%","240,862","78%","218,592","76%","32,717","113%","872,347","93%","6,886","42%"
"05/01/2024","4,032,791","71%","1,350,660","59%","230,682","72%","205,030","72%","35,701","121%","954,842","99%","7,757","45%"
"05/02/2024","4,061,242","71%","1,349,838","59%","235,003","74%","210,951","74%","36,244","123%","980,830","102%","7,475","43%"
"05/03/2024","3,780,888","66%","1,285,012","56%","226,880","71%","204,190","71%","34,860","119%","1,004,571","104%","6,516","37%"
"05/04/2024","2,563,658","80%","849,249","61%","123,516","104%","122,719","81%","22,523","130%","951,334","99%","2,769","57%"
"05/05/2024","1,889,174","79%","578,132","60%","99,491","102%","87,988","85%","20,709","122%","819,681","96%","2,571","73%"
"05/06/2024","3,652,105","64%","1,295,794","57%","229,643","72%","200,506","70%","33,424","114%","930,298","97%","6,869","39%"
"05/07/2024","4,098,321","72%","1,375,535","60%","250,953","79%","227,303","79%","36,309","123%","954,763","99%","7,966","46%"
"05/08/2024","4,087,477","71%","1,350,511","59%","244,202","76%","221,059","77%","36,981","126%","969,162","101%","7,623","44%"
"05/09/2024","4,086,528","71%","1,354,139","60%","247,959","78%","218,370","76%","35,927","122%","999,321","104%","7,344","42%"
"05/10/2024","3,677,268","64%","1,212,090","53%","228,020","71%","195,091","68%","34,539","117%","1,001,911","104%","5,894","34%"
"05/11/2024","2,648,580","83%","845,713","61%","134,051","113%","117,308","78%","22,810","132%","1,004,157","105%","3,078","63%"
"05/12/2024","1,858,872","78%","559,614","58%","114,118","117%","98,717","95%","24,531","144%","930,720","109%","1,755","50%"
"05/13/2024","3,703,066","65%","1,264,180","56%","244,216","76%","209,794","73%","31,980","109%","953,646","99%","7,137","41%"
"05/14/2024","4,116,655","72%","1,343,633","59%","260,745","82%","226,656","79%","35,800","122%","964,136","100%","7,698","44%"
"05/15/2024","4,114,615","72%","1,288,427","57%","248,434","78%","219,840","77%","36,951","126%","942,648","98%","7,856","45%"
"05/16/2024","4,105,026","72%","1,306,481","57%","243,988","76%","215,601","75%","35,940","122%","985,179","102%","7,590","44%"
"05/17/2024","3,816,914","67%","1,270,674","56%","241,980","76%","215,838","75%","34,945","119%","1,023,765","106%","6,569","38%"
"05/18/2024","2,691,368","84%","792,454","57%","131,709","111%","130,279","86%","21,562","125%","969,098","101%","2,855","59%"
"05/19/2024","2,121,485","89%","657,256","68%","112,130","115%","106,408","102%","22,305","131%","939,438","110%","2,228","63%"
"05/20/2024","3,682,061","64%","1,291,703","57%","236,846","74%","216,450","76%","32,417","110%","956,799","99%","7,160","41%"
"05/21/2024","4,029,557","70%","1,349,876","59%","252,506","79%","234,587","82%","35,819","122%","962,058","100%","7,775","45%"
"05/22/2024","4,104,021","72%","1,357,841","60%","258,544","81%","233,098","81%","36,940","126%","975,096","101%","8,086","46%"
"05/23/2024","3,863,099","68%","1,275,297","56%","250,848","79%","215,083","75%","34,785","118%","1,011,195","105%","7,442","43%"
"05/24/2024","3,583,244","63%","1,243,655","55%","250,907","79%","209,130","73%","33,663","114%","1,034,556","107%","6,663","38%"
"05/25/2024","2,347,159","73%","805,680","58%","135,961","115%","120,036","80%","20,733","120%","924,855","97%","3,031","62%"
"05/26/2024","2,019,012","84%","652,393","68%","120,709","124%","101,017","97%","22,762","134%","905,197","106%","2,710","77%"
"05/27/2024","1,667,890","70%","594,031","62%","99,975","103%","81,042","78%","12,673","75%","742,353","87%","2,123","60%"
"05/28/2024","3,825,781","67%","1,300,611","57%","257,078","80%","227,311","79%","34,485","117%","967,869","101%","7,609","44%"
"05/29/2024","4,006,764","70%","1,309,889","58%","254,749","80%","227,379","79%","36,435","124%","943,930","98%","8,090","46%"
"05/30/2024","3,979,959","70%","1,301,028","57%","253,843","79%","219,887","77%","35,372","120%","997,110","104%","7,550","43%"
"05/31/2024","3,688,627","65%","1,257,526","55%","245,017","77%","211,027","74%","35,020","119%","1,020,563","106%","6,644","38%"
"06/01/2024","2,446,153","76%","848,601","61%","128,555","105%","110,948","70%","22,726","131%","999,068","102%","2,980","59%"
"06/02/2024","1,978,037","76%","651,637","60%","114,504","116%","92,567","85%","22,640","125%","940,743","102%","2,339","60%"
"06/03/2024","3,611,491","64%","1,294,956","60%","225,413","68%","197,640","67%","33,679","115%","946,610","96%","7,168","44%"
"06/04/2024","3,979,793","71%","1,327,963","62%","255,090","77%","233,237","79%","36,865","126%","957,990","97%","7,800","48%"
"06/05/2024","4,051,943","72%","1,338,427","62%","264,512","80%","230,173","78%","37,800","129%","985,722","100%","7,942","49%"
"06/06/2024","3,774,324","67%","1,207,899","56%","245,631","74%","219,447","74%","35,234","120%","978,812","100%","7,059","44%"
"06/07/2024","3,752,412","67%","1,254,339","58%","252,098","76%","214,062","72%","35,464","121%","1,035,803","105%","6,393","39%"
"06/08/2024","2,673,220","83%","842,779","60%","159,020","129%","135,138","85%","23,371","135%","998,451","102%","3,150","62%"
"06/09/2024","2,134,551","82%","680,981","63%","132,945","135%","107,497","99%","22,435","124%","962,131","104%","2,492","64%"
"06/10/2024","3,702,212","66%","1,355,986","63%","240,121","72%","211,542","72%","32,970","113%","959,576","98%","7,701","47%"
"06/11/2024","3,995,425","71%","1,390,440","65%","259,101","78%","230,796","78%","36,206","124%","951,147","97%","8,500","52%"
"06/12/2024","3,977,760","71%","1,355,294","63%","256,255","77%","224,305","76%","36,693","125%","928,453","94%","8,138","50%"
"06/13/2024","3,936,941","70%","1,310,210","61%","254,575","77%","221,855","75%","35,363","121%","964,740","98%","7,675","47%"
"06/14/2024","3,517,062","63%","1,212,740","56%","247,019","74%","204,586","69%","34,757","119%","1,011,986","103%","5,973","37%"
